russian_value,record_count,english_value,owner_decision,owner_notes
"Хозяин","2729","Household head","Revise",""
"Жена","847","Wife","Approve A",""
"Сожительница","756","Cohabiting partner","Revise",""
"Совладелец","572","Joint householder","Approve C",""
"Сын","544","Son","Approve A",""
"Жилец","512","Lodger","Revise",""
"Дочь","489","Daughter","Approve A",""
"Незаконнорожденный сын","266","Illegitimate son (historical)","Approve C",""
"Незаконнорожденная дочь","259","Illegitimate daughter (historical)","Approve C",""
"Работник","112","Hired worker","Revise",""
"Хозяйка","60","Household head","Revise",""
"Жилица","45","Lodger","Revise",""
"Сожитель","23","Cohabiting partner","Revise",""
"Приемная дочь","16","Adopted daughter","Approve C",""
"Прислуга","15","Domestic servant","Approve A",""
"Приемный сын","13","Adopted son","Approve C",""
"Брат","12","Brother","Approve A",""
"Мать","10","Mother","Approve A",""
"Совладелица","8","Joint householder","Revise","Verified: 8 canonical family-status records; Cyrillic С spelling."
"Внучка","6","Granddaughter","Approve A",""
"Пасынок","4","Stepson","Approve A",""
"Работница","4","Hired worker","Revise",""
"Невестка","3","Daughter-in-law","Approve A",""
"Сестра","3","Sister","Approve A",""
"Зять","2","Son-in-law","Approve A",""
"Отец","2","Father","Approve A",""
"Падчерица","2","Stepdaughter","Approve A",""
"Внук","1","Grandson","Approve A",""
"Кухарка","1","Cook","Approve C",""
"Муж","1","Husband","Approve A",""
"Нянька","1","Nursemaid","Approve A",""
"Повар","1","Cook","Approve C",""
"Приемный отец","1","Adoptive father","Approve C",""
"Свекровь","1","Mother-in-law","Approve B",""
"Служанка","1","Maid","Approve B",""
"Сторож","1","Watchman","Approve A",""
"Теща","1","Mother-in-law","Approve B",""
