canonical_path,source_zip,source_internal_path,sha256,role,status,approved_date,notes
data/processed/clean_alexandrovsky_ru_v4_20260717.csv,owner_approved_quality_review_items_20260717,data/processed/clean_alexandrovsky_ru_v4_20260717.csv,4a04986f9b6eca373b9897e4613eed7fac4158ef79e14414dc6ea36c9ff82b8c,Current canonical processed dataset for Alexandrovsky District,approved,2026-07-17,Versioned 36-column quality-review consolidation; v3 retained historically.
data/processed/clean_tymovsky_ru_v4_20260717.csv,owner_approved_quality_review_items_20260717,data/processed/clean_tymovsky_ru_v4_20260717.csv,b0f1551729fb4df46edc314203ec32eeabda9e801c8efd84387259bcac7466e2,Current canonical processed dataset for Tymovsky District,approved,2026-07-17,Versioned 36-column quality-review consolidation; v3 retained historically.
data/processed/clean_korsakovsky_ru_v4_20260717.csv,owner_approved_quality_review_items_20260717,data/processed/clean_korsakovsky_ru_v4_20260717.csv,f4a741d225cb8d0c6d1890241af56dcb907d33216fcc50bb54aae51b137dbab0,Current canonical processed dataset for Korsakovsky District,approved,2026-07-17,Versioned 36-column quality-review consolidation; v3 retained historically.
data/processed/clean_sakhalin_1890_ru_v4_20260717.csv,owner_approved_quality_review_items_20260717,data/processed/clean_sakhalin_1890_ru_v4_20260717.csv,51121670e02137168157c833391e772bd1254c243d5290663b64a9e149162b12,Current canonical combined processed dataset,approved,2026-07-17,Exact ordered concatenation of the three v4 district datasets; 36 columns; approved Items 1-23 consolidated.
scripts/build_canonical_v4_20260717.py,owner_approved_quality_review_items_20260717,scripts/build_canonical_v4_20260717.py,88988b69290feb5927bd5737c51456c860c2cbf9d8f31a856a7accd4616311e4,Canonical v4 consolidation script,approved,2026-07-17,Reconciles approved staged branches and writes district and combined v4 files.
outputs/qa/canonical_v4_20260717/canonical_v4_qa_report.json,owner_approved_quality_review_items_20260717,outputs/qa/canonical_v4_20260717/canonical_v4_qa_report.json,d14492ca3e83ea8601674703867b080250d6c78e9504e4b0eab47b675f04033b,Canonical v4 machine-readable QA report,approved,2026-07-17,All integrated hard checks passed.
outputs/qa/canonical_v4_20260717/canonical_v4_hashes.csv,owner_approved_quality_review_items_20260717,outputs/qa/canonical_v4_20260717/canonical_v4_hashes.csv,b65aa88331274822cf9dfbff4b4f4360f3b8a6321ed7882f741f46ee90115ebc,Canonical v4 release hash table,approved,2026-07-17,SHA-256 hashes for all four v4 processed datasets.
data/processed/clean_alexandrovsky_ru_v3_20260712.csv,owner_approved_normalization_items_20260712,data/processed/clean_alexandrovsky_ru_v3_20260712.csv,08d9dfa6d134da07a0a799d935b9eeb1b34b537ff17ba15a80589ed87256a93d,Historical canonical processed dataset for Alexandrovsky District,approved,2026-07-12,Versioned 31-column normalization consolidation; v2 retained historically.
data/processed/clean_tymovsky_ru_v3_20260712.csv,owner_approved_normalization_items_20260712,data/processed/clean_tymovsky_ru_v3_20260712.csv,71ddd544e42c8939497fc36792a5d1a9317b5a821e6089e50bc3aaa405667fdd,Historical canonical processed dataset for Tymovsky District,approved,2026-07-12,Versioned 31-column normalization consolidation; v2 retained historically.
data/processed/clean_korsakovsky_ru_v3_20260712.csv,owner_approved_normalization_items_20260712,data/processed/clean_korsakovsky_ru_v3_20260712.csv,d360bbe6a928913296b93e8d2a51b253d6f008c4ad32d2b4b7b9ce80600cdcfd,Historical canonical processed dataset for Korsakovsky District,approved,2026-07-12,Versioned 31-column normalization consolidation; v2 retained historically.
data/processed/clean_sakhalin_1890_ru_v3_20260712.csv,owner_approved_normalization_items_20260712,data/processed/clean_sakhalin_1890_ru_v3_20260712.csv,469292562baaceab9543ee0e2bb529b623be7c1a3587087c1e57568f8e3d4ea4,Historical canonical combined processed dataset,approved,2026-07-12,Exact ordered concatenation of the three v3 district datasets; 31 columns; historically approved normalization items consolidated; retained historically after v4 approval.
data/processed/clean_alexandrovsky_ru_v2_20260711.csv,owner_review_items_1_2_20260711,data/processed/clean_alexandrovsky_ru_v2_20260711.csv,3190caa9eeb31c2c6ce21aecef159429ca7b172ae0ebb8cad9416ba6eeaa09a7,Historical canonical processed dataset for Alexandrovsky District,approved,2026-07-11,Versioned 24-column Item 1 and Item 2 name-normalization release; retained historically.
data/processed/clean_tymovsky_ru_v2_20260711.csv,owner_review_items_1_2_20260711,data/processed/clean_tymovsky_ru_v2_20260711.csv,8e355dc4cc67a9d975293b79197c740a8c7cdacdbc9df92977d92cb3f914e35e,Historical canonical processed dataset for Tymovsky District,approved,2026-07-11,Versioned 24-column Item 1 and Item 2 name-normalization release; retained historically.
data/processed/clean_korsakovsky_ru_v2_20260711.csv,owner_review_items_1_2_20260711,data/processed/clean_korsakovsky_ru_v2_20260711.csv,a2378154d771464c3a3616ebcb8ead009c73d3516654d7a32ce72b41c8f2355c,Historical canonical processed dataset for Korsakovsky District,approved,2026-07-11,Versioned 24-column Item 1 and Item 2 name-normalization release; retained historically.
data/processed/clean_sakhalin_1890_ru_v2_20260711.csv,owner_review_items_1_2_20260711,data/processed/clean_sakhalin_1890_ru_v2_20260711.csv,09675fb6868b0814aab1f554b03149f0d956d231d66213ade2a35578cd3eb5a7,Historical canonical combined processed dataset,approved,2026-07-11,Exact ordered concatenation of the three v2 district datasets; 24 columns; retained historically.
data/processed/clean_alexandrovsky_ru.csv,final_sakhalin_1890_project_outputs.zip,data/processed/clean_alexandrovsky_ru.csv,a939571fab75393d6e51dc6d5a1911ac4ed6e0ad8ddb1373680b3c3dfc963862,Canonical processed dataset for Alexandrovsky District,approved,2026-07-10,Approved district code 1; preserves Russian dataset values.
data/processed/clean_tymovsky_ru.csv,final_sakhalin_1890_project_outputs.zip,data/processed/clean_tymovsky_ru.csv,e3c190608bc7dc76e82d866e264b6a7abbd0389a1c1a302c3ecc78e53e976124,Canonical processed dataset for Tymovsky District,approved,2026-07-10,Approved district code 2; preserves Russian dataset values.
data/processed/clean_korsakovsky_ru.csv,final_sakhalin_1890_project_outputs.zip,data/processed/clean_korsakovsky_ru.csv,c1ec56588d35b55c6bd16900f2fdf671d7ab773a7006c995681db8021343e100,Canonical processed dataset for Korsakovsky District,approved,2026-07-10,Approved district code 3; preserves Russian dataset values.
data/processed/clean_sakhalin_1890_ru.csv,final_sakhalin_1890_project_outputs.zip,data/processed/clean_sakhalin_1890_ru.csv,b716cfbc8daa28cd09341d8946d0ad553d73a8e23b01d39b8c376adcbacbc32b,Canonical combined processed dataset,approved,2026-07-10,"Exact concatenation of Alexandrovsky, Tymovsky, and Korsakovsky datasets in the approved order."
scripts/create_raw_records_from_pages_v3.py,final_scripts_update.zip,scripts/create_raw_records_from_pages_v3.py,a180fe1993363a9f35b8a22fc529f6f7c2f7961f68eeafaa85c4b966ebd2e12c,Canonical raw-record extraction script,approved,2026-07-10,Copied byte-for-byte from the authoritative script package.
scripts/finalize_reviewed_clean_csv.py,final_scripts_update.zip,scripts/finalize_reviewed_clean_csv.py,a71c226929a59fe3f907a5a679df54c873d257dec0fb792976d61124bd8bbbea,Canonical reviewed-CSV finalization script,approved,2026-07-10,Copied byte-for-byte from the authoritative script package.
scripts/merge_clean_districts.py,final_scripts_update.zip,scripts/merge_clean_districts.py,95513be6daf0b4f89a61a66cbd7b31a4b38720adb16696a05e662561fa4e3c5e,Canonical district merge script,approved,2026-07-10,Copied byte-for-byte from the authoritative script package.
scripts/sakhalin_conversion_helpers_v12.py,owner_approved_normalization_items_20260712,scripts/sakhalin_conversion_helpers_v12.py,bfc7565793bb4f26dc1dc463de1296f07540f6eaf9941ad7615d130dbd336427,Canonical parsing and normalization helper module,approved,2026-07-12,v12 retained with owner-approved reviewed vocabulary updates; v11 remains intentionally excluded.
docs/data_dictionary.md,owner_approved_quality_review_items_20260717,docs/data_dictionary.md,c087ef8d44dbaa0710248972e300587ed300c6b76244a01479aefe7dbdd36052,Canonical data dictionary,approved,2026-07-17,Updated for the current 31-column v3 schema; Russian examples preserved; updated for canonical v4.
docs/final_validation_summary.md,owner_approved_quality_review_items_20260717,docs/final_validation_summary.md,090ed6adfc389040136b459c78351f505714d8e61fbaac70ed2b81936e05dd9a,Canonical final validation summary,approved,2026-07-17,Updated with the v3 validation result and pending-item scope; updated for canonical v4.
docs/methodology.md,owner_approved_quality_review_items_20260717,docs/methodology.md,2640c191336f867e057f0a00237ee6f69efaf4524cf003b0fac553ed8cb7f5b2,Canonical project methodology,approved,2026-07-17,Updated with the v3 household and derived-field schema; updated for canonical v4.
docs/release_notes.md,owner_approved_quality_review_items_20260717,docs/release_notes.md,cb0891b3f4bcde33b93f7dbff157333eac28efd3491116d7d3053952de013ee5,Canonical release notes,approved,2026-07-17,Added the v3 normalization consolidation scope and validation evidence; updated for canonical v4.
