russian_value,record_count,english_value,owner_decision,owner_notes
"Богадельщик","10","Almshouse resident","Approve A",""
"Сифилис","7","Syphilis","Approve A",""
"Слепота","6","Blind","Approve B",""
"Психическое расстройство","5","Mental disorder","Approve C",""
"Водянка; Богадельщик","2","Dropsy; Almshouse resident","Revise",""
"Глухота","2","Deaf","Approve B",""
"Слабосилен","2","Physically weak","Approve A",""
"Удушье","2","Respiratory distress","Approve B",""
"Бронхиальный катар","1","Bronchial catarrh","Approve A",""
"Женская болезнь","1","Women's ailment","Revise",""
"Застарелый вывих в левом локтевом сочленении","1","Old left-elbow dislocation","Approve B",""
"Контужен","1","Contusion injury","Approve B",""
"Конъюнктивит","1","Conjunctivitis","Approve A",""
"Левая рука не работает","1","Left arm disability","Approve B",""
"Немой","1","Mute","Approve B",""
"Плеврит","1","Pleurisy","Approve A",""
"Разбита параличом","1","Paralysed","Approve A",""
"Рак","1","Cancer","Approve A",""
"Ревматизм","1","Rheumatism","Approve A",""
"Ревматизм; Катар желудка","1","Rheumatism; Gastric catarrh","Approve A",""
"Слабое зрение","1","Impaired vision","Approve A",""
"Слепота; Психическое расстройство","1","Blind; Mental disorder","Revise","Aligned with approved standalone Mental disorder category."
"Хронический катар желудка и кишок","1","Chronic gastric and intestinal catarrh","Approve A",""
"Чахотка","1","Tuberculosis","Approve B",""
"Чахотка; Сифилис","1","Tuberculosis; Syphilis","Approve B",""
